m,n,k,time_nocollapse,time_collapse2,error_max
100,8192,100,0.2620768547058105,4.1131973266601563E-003,0.000000000000000
100,8192,250,0.3615291118621826,6.8788528442382813E-003,0.000000000000000
100,8192,500,0.5510480403900146,1.2291908264160156E-002,0.000000000000000
100,8192,750,0.7613098621368408,1.7756938934326172E-002,0.000000000000000
100,8192,1000,0.9568250179290771,1.6469955444335938E-002,0.000000000000000
100,8192,1500,1.374057054519653,3.1063079833984375E-002,0.000000000000000
100,8192,2000,1.801401138305664,4.5691013336181641E-002,0.000000000000000
100,8192,2500,2.211559057235718,9.6438884735107422E-002,0.000000000000000
100,8192,3000,2.632277965545654,0.1163358688354492,0.000000000000000
100,8192,3500,3.033278942108154,0.1365420818328857,0.000000000000000
100,16384,100,0.2856681346893311,6.4160823822021484E-003,0.000000000000000
100,16384,250,0.5524051189422607,9.2079639434814453E-003,0.000000000000000
100,16384,500,0.9421470165252686,1.6530990600585938E-002,0.000000000000000
100,16384,750,1.382473945617676,2.6987075805664063E-002,0.000000000000000
100,16384,1000,1.789094924926758,4.2546987533569336E-002,0.000000000000000
100,16384,1500,2.634294033050537,0.1152598857879639,0.000000000000000
100,16384,2000,3.479246854782104,0.1523151397705078,0.000000000000000
100,16384,2500,4.328883886337280,0.1972019672393799,0.000000000000000
100,16384,3000,5.225212812423706,0.2360639572143555,0.000000000000000
100,16384,3500,5.989857196807861,0.2774720191955566,0.000000000000000
100,24576,100,0.3775520324707031,1.1681079864501953E-002,0.000000000000000
100,24576,250,0.7659277915954590,1.4117002487182617E-002,0.000000000000000
100,24576,500,1.358178853988647,3.1867980957031250E-002,0.000000000000000
100,24576,750,2.029362916946411,9.0662002563476563E-002,0.000000000000000
100,24576,1000,2.667140960693359,0.1204500198364258,0.000000000000000
100,24576,1500,3.911303043365479,0.1807539463043213,0.000000000000000
100,24576,2000,5.167858839035034,0.2415239810943604,0.000000000000000
100,24576,2500,6.408303976058960,0.3058791160583496,0.000000000000000
100,24576,3000,7.708742856979370,0.3717670440673828,0.000000000000000
100,24576,3500,8.976315021514893,0.4381649494171143,0.000000000000000
100,32768,100,0.4520409107208252,1.0725975036621094E-002,0.000000000000000
100,32768,250,0.9634130001068115,2.3462057113647461E-002,0.000000000000000
100,32768,500,1.830733060836792,4.9156904220581055E-002,0.000000000000000
100,32768,750,2.666525125503540,0.1222870349884033,0.000000000000000
100,32768,1000,3.534121990203857,0.1588470935821533,0.000000000000000
100,32768,1500,5.167684078216553,0.2417101860046387,0.000000000000000
100,32768,2000,6.865978956222534,0.3324739933013916,0.000000000000000
100,32768,2500,8.586178064346313,0.4133591651916504,0.000000000000000
100,32768,3000,10.28502297401428,0.5006539821624756,0.000000000000000
100,32768,3500,11.97832298278809,0.5852370262145996,0.000000000000000
100,40960,100,0.5241069793701172,1.2932062149047852E-002,0.000000000000000
100,40960,250,1.160624980926514,2.7038097381591797E-002,0.000000000000000
100,40960,500,2.258790969848633,0.1015479564666748,0.000000000000000
100,40960,750,3.300487995147705,0.1521170139312744,0.000000000000000
100,40960,1000,4.340350866317749,0.2017159461975098,0.000000000000000
100,40960,1500,6.470856904983521,0.3067839145660400,0.000000000000000
100,40960,2000,8.589108943939209,0.4083697795867920,0.000000000000000
100,40960,2500,10.71118688583374,0.5167829990386963,0.000000000000000
100,40960,3000,12.82665991783142,0.6149718761444092,0.000000000000000
100,40960,3500,14.99545693397522,0.7117221355438232,0.000000000000000
100,49152,100,0.6350340843200684,2.2512912750244141E-002,0.000000000000000
100,49152,250,1.423116207122803,3.6150932312011719E-002,0.000000000000000
100,49152,500,2.695896863937378,0.1285841464996338,0.000000000000000
100,49152,750,3.940150022506714,0.1888740062713623,0.000000000000000
100,49152,1000,5.221806049346924,0.2531199455261230,0.000000000000000
100,49152,1500,7.767928838729858,0.3834619522094727,0.000000000000000
100,49152,2000,10.32493185997009,0.5095710754394531,0.000000000000000
100,49152,2500,12.94813299179077,0.6337459087371826,0.000000000000000
100,49152,3000,15.41796302795410,0.7632489204406738,0.000000000000000
100,49152,3500,17.99646210670471,0.8906760215759277,0.000000000000000
100,57344,100,0.7220818996429443,1.8650054931640625E-002,0.000000000000000
100,57344,250,1.592514991760254,4.3305158615112305E-002,0.000000000000000
100,57344,500,3.176690101623535,0.1488940715789795,0.000000000000000
100,57344,750,4.626998186111450,0.2178320884704590,0.000000000000000
100,57344,1000,6.107942104339600,0.2997419834136963,0.000000000000000
100,57344,1500,9.037634849548340,0.4344420433044434,0.000000000000000
100,57344,2000,12.00918507575989,0.5767860412597656,0.000000000000000
100,57344,2500,14.98352003097534,0.7199180126190186,0.000000000000000
100,57344,3000,18.03586697578430,0.8711049556732178,0.000000000000000
100,57344,3500,20.93800687789917,1.001746892929077,0.000000000000000
100,65536,100,0.8027291297912598,2.5299787521362305E-002,0.000000000000000
100,65536,250,1.845275878906250,9.7560882568359375E-002,0.000000000000000
100,65536,500,3.554028034210205,0.1809701919555664,0.000000000000000
100,65536,750,5.263484001159668,0.2632348537445068,0.000000000000000
100,65536,1000,6.973809003829956,0.3401498794555664,0.000000000000000
100,65536,1500,10.30908393859863,0.5001778602600098,0.000000000000000
100,65536,2000,13.71026587486267,0.6704881191253662,0.000000000000000
100,65536,2500,17.11856007575989,0.8286519050598145,0.000000000000000
100,65536,3000,20.51718688011169,0.9920480251312256,0.000000000000000
100,65536,3500,24.09929490089417,1.197528123855591,0.000000000000000
100,73728,100,0.8952569961547852,2.4087905883789063E-002,0.000000000000000
100,73728,250,2.057246208190918,0.1467080116271973,0.000000000000000
100,73728,500,3.990247011184692,0.1938030719757080,0.000000000000000
100,73728,750,5.913192987442017,0.2966990470886230,0.000000000000000
100,73728,1000,7.772312879562378,0.3986680507659912,0.000000000000000
100,73728,1500,11.60577297210693,0.6028800010681152,0.000000000000000
100,73728,2000,15.43304896354675,0.7819271087646484,0.000000000000000
100,73728,2500,19.26787590980530,0.9830191135406494,0.000000000000000
100,73728,3000,23.10220503807068,1.178397893905640,0.000000000000000
100,73728,3500,26.96481108665466,2.303864002227783,0.000000000000000
100,81920,100,0.9952809810638428,2.7252912521362305E-002,0.000000000000000
100,81920,250,2.280567884445190,0.1171889305114746,0.000000000000000
100,81920,500,4.362303972244263,0.2173418998718262,0.000000000000000
100,81920,750,6.493539810180664,0.3222918510437012,0.000000000000000
100,81920,1000,8.630674839019775,0.4229061603546143,0.000000000000000
100,81920,1500,12.88297605514526,0.6383130550384521,0.000000000000000
100,81920,2000,17.13179802894592,0.8404681682586670,0.000000000000000
100,81920,2500,21.39198303222656,1.042230844497681,0.000000000000000
100,81920,3000,25.66111302375793,1.263459920883179,0.000000000000000
100,81920,3500,29.91776418685913,1.461271047592163,0.000000000000000
250,8192,100,0.2053699493408203,5.4469108581542969E-003,0.000000000000000
250,8192,250,0.3486988544464111,1.1153936386108398E-002,0.000000000000000
250,8192,500,0.5682618618011475,1.9814014434814453E-002,0.000000000000000
250,8192,750,0.7894721031188965,2.4785995483398438E-002,0.000000000000000
250,8192,1000,1.011938095092773,4.2312860488891602E-002,0.000000000000000
250,8192,1500,1.449820995330811,7.5448036193847656E-002,0.000000000000000
250,8192,2000,1.900221824645996,0.1354970932006836,0.000000000000000
250,8192,2500,2.310356855392456,0.1734209060668945,0.000000000000000
250,8192,3000,2.769047975540161,0.2100651264190674,0.000000000000000
250,8192,3500,3.204107046127319,0.2465460300445557,0.000000000000000
250,16384,100,0.2956101894378662,1.4831066131591797E-002,0.000000000000000
250,16384,250,0.5630140304565430,1.6350984573364258E-002,0.000000000000000
250,16384,500,1.005516052246094,4.6090841293334961E-002,0.000000000000000
250,16384,750,1.437000989913940,7.1041822433471680E-002,0.000000000000000
250,16384,1000,1.904365062713623,0.1347649097442627,0.000000000000000
250,16384,1500,2.797276973724365,0.2092099189758301,0.000000000000000
250,16384,2000,3.661184787750244,0.2789270877838135,0.000000000000000
250,16384,2500,4.603110074996948,0.3584330081939697,0.000000000000000
250,16384,3000,5.491804122924805,0.4252409934997559,0.000000000000000
250,16384,3500,6.352400064468384,0.4998741149902344,0.000000000000000
250,24576,100,0.3883898258209229,2.0929098129272461E-002,0.000000000000000
250,24576,250,0.8079330921173096,2.8687953948974609E-002,0.000000000000000
250,24576,500,1.474708795547485,7.8303098678588867E-002,0.000000000000000
250,24576,750,2.118829011917114,0.1668410301208496,0.000000000000000
250,24576,1000,2.784693956375122,0.2257230281829834,0.000000000000000
250,24576,1500,4.113234996795654,0.3399779796600342,0.000000000000000
250,24576,2000,5.489683151245117,0.4526860713958740,0.000000000000000
250,24576,2500,6.783570051193237,0.5666420459747314,0.000000000000000
250,24576,3000,8.113469123840332,0.6872279644012451,0.000000000000000
250,24576,3500,9.442703962326050,0.7941458225250244,0.000000000000000
250,32768,100,0.4886369705200195,2.1286010742187500E-002,0.000000000000000
250,32768,250,1.014894008636475,6.1899900436401367E-002,0.000000000000000
250,32768,500,1.905570983886719,0.1511659622192383,0.000000000000000
250,32768,750,2.772636890411377,0.2294030189514160,0.000000000000000
250,32768,1000,3.661564111709595,0.3041350841522217,0.000000000000000
250,32768,1500,5.494287967681885,0.4533519744873047,0.000000000000000
250,32768,2000,7.224940061569214,0.6283259391784668,0.000000000000000
250,32768,2500,9.063807964324951,0.7616529464721680,0.000000000000000
250,32768,3000,10.88341116905212,0.9343740940093994,0.000000000000000
250,32768,3500,12.58561301231384,1.072413921356201,0.000000000000000
250,40960,100,0.5440468788146973,2.3617029190063477E-002,0.000000000000000
250,40960,250,1.229666948318481,6.2534093856811523E-002,0.000000000000000
250,40960,500,2.323754072189331,0.1914019584655762,0.000000000000000
250,40960,750,3.460501194000244,0.2824280261993408,0.000000000000000
250,40960,1000,4.590312957763672,0.3787498474121094,0.000000000000000
250,40960,1500,6.781112909317017,0.5632531642913818,0.000000000000000
250,40960,2000,9.002202033996582,0.7527768611907959,0.000000000000000
250,40960,2500,11.26471805572510,0.9402129650115967,0.000000000000000
250,40960,3000,13.42464900016785,1.126349925994873,0.000000000000000
250,40960,3500,15.65106320381165,1.330177068710327,0.000000000000000
250,49152,100,0.6749379634857178,3.0143022537231445E-002,0.000000000000000
250,49152,250,1.472149133682251,0.1208059787750244,0.000000000000000
250,49152,500,2.776915073394775,0.2373359203338623,0.000000000000000
250,49152,750,4.097170829772949,0.3615999221801758,0.000000000000000
250,49152,1000,5.440130949020386,0.4759421348571777,0.000000000000000
250,49152,1500,8.099728822708130,0.7066209316253662,0.000000000000000
250,49152,2000,10.76183700561523,0.9383950233459473,0.000000000000000
250,49152,2500,13.42134213447571,1.173231840133667,0.000000000000000
250,49152,3000,16.07890701293945,1.400825023651123,0.000000000000000
250,49152,3500,18.75508999824524,1.644512891769409,0.000000000000000
250,57344,100,0.7287149429321289,3.7806987762451172E-002,0.000000000000000
250,57344,250,1.705455064773560,0.1397011280059814,0.000000000000000
250,57344,500,3.257604122161865,0.2715690135955811,0.000000000000000
250,57344,750,4.765221834182739,0.4018900394439697,0.000000000000000
250,57344,1000,6.318415164947510,0.5330219268798828,0.000000000000000
250,57344,1500,9.430310010910034,0.8032438755035400,0.000000000000000
250,57344,2000,12.53769111633301,1.070637941360474,0.000000000000000
250,57344,2500,15.64445209503174,1.338423967361450,0.000000000000000
250,57344,3000,18.74290084838867,1.598668813705444,0.000000000000000
250,57344,3500,21.85224699974060,1.871240854263306,0.000000000000000
250,65536,100,0.9025371074676514,5.3749084472656250E-002,0.000000000000000
250,65536,250,1.896286010742188,0.1645789146423340,0.000000000000000
250,65536,500,3.672975063323975,0.3279900550842285,0.000000000000000
250,65536,750,5.432004928588867,0.4738419055938721,0.000000000000000
250,65536,1000,7.213459014892578,0.6228868961334229,0.000000000000000
250,65536,1500,10.82980108261108,0.9335751533508301,0.000000000000000
250,65536,2000,14.30356884002686,1.234511852264404,0.000000000000000
250,65536,2500,17.86048483848572,1.545516967773438,0.000000000000000
250,65536,3000,21.41854000091553,1.854806900024414,0.000000000000000
250,65536,3500,24.96232914924622,2.163536071777344,0.000000000000000
250,73728,100,0.9575440883636475,5.2261114120483398E-002,0.000000000000000
250,73728,250,2.143043041229248,0.1904399394989014,0.000000000000000
250,73728,500,4.153974056243896,0.3798758983612061,0.000000000000000
250,73728,750,6.096966981887817,0.5636398792266846,0.000000000000000
250,73728,1000,8.096187114715576,0.7412521839141846,0.000000000000000
250,73728,1500,12.08892488479614,1.109749078750610,0.000000000000000
250,73728,2000,16.08442997932434,1.461745023727417,0.000000000000000
250,73728,2500,20.08354806900024,1.820599079132080,0.000000000000000
250,73728,3000,24.08717894554138,2.174918889999390,0.000000000000000
250,73728,3500,28.06305599212646,2.525833129882813,0.000000000000000
250,81920,100,1.033064842224121,5.8696985244750977E-002,0.000000000000000
250,81920,250,2.380624055862427,0.2068221569061279,0.000000000000000
250,81920,500,4.579552888870239,0.4053108692169189,0.000000000000000
250,81920,750,6.769755125045776,0.5899050235748291,0.000000000000000
250,81920,1000,9.053519964218140,0.7836849689483643,0.000000000000000
250,81920,1500,13.42343211174011,1.166329145431519,0.000000000000000
250,81920,2000,17.86784100532532,1.551901102066040,0.000000000000000
250,81920,2500,22.30852580070496,1.941209077835083,0.000000000000000
250,81920,3000,26.73940920829773,2.319995880126953,0.000000000000000
250,81920,3500,31.18335509300232,2.715790033340454,0.000000000000000
500,8192,100,0.2056682109832764,8.9321136474609375E-003,0.000000000000000
500,8192,250,0.3375091552734375,1.5744924545288086E-002,0.000000000000000
500,8192,500,0.5635769367218018,3.2495975494384766E-002,0.000000000000000
500,8192,750,0.8059530258178711,5.6622982025146484E-002,0.000000000000000
500,8192,1000,0.9924719333648682,8.6580991744995117E-002,0.000000000000000
500,8192,1500,1.439682006835938,0.1480989456176758,0.000000000000000
500,8192,2000,1.943265914916992,0.2390699386596680,0.000000000000000
500,8192,2500,2.354189157485962,0.3041357994079590,0.000000000000000
500,8192,3000,2.807236909866333,0.3642539978027344,0.000000000000000
500,8192,3500,3.254024028778076,0.4258511066436768,0.000000000000000
500,16384,100,0.3125441074371338,1.8481016159057617E-002,0.000000000000000
500,16384,250,0.5811870098114014,3.7925958633422852E-002,0.000000000000000
500,16384,500,1.035999059677124,0.1034770011901855,0.000000000000000
500,16384,750,1.460271120071411,0.1469109058380127,0.000000000000000
500,16384,1000,1.908798933029175,0.2411899566650391,0.000000000000000
500,16384,1500,2.786593914031982,0.3697769641876221,0.000000000000000
