m,n,k,time_nocollapse,time_collapse2,error_max
100,8192,100,0.2625730037689209,3.9310455322265625E-003,0.000000000000000
100,8192,250,0.3395829200744629,7.1358680725097656E-003,0.000000000000000
100,8192,500,0.5480968952178955,1.1569976806640625E-002,0.000000000000000
100,8192,750,0.7775900363922119,1.2023925781250000E-002,0.000000000000000
100,8192,1000,0.9554460048675537,1.6710042953491211E-002,0.000000000000000
100,8192,1500,1.381648063659668,3.0923128128051758E-002,0.000000000000000
100,8192,2000,1.802502870559692,4.6536922454833984E-002,0.000000000000000
100,8192,2500,2.201056003570557,9.5341920852661133E-002,0.000000000000000
100,8192,3000,2.668710947036743,0.1163520812988281,0.000000000000000
100,8192,3500,3.080591917037964,0.1359028816223145,0.000000000000000
100,16384,100,0.2956559658050537,7.1821212768554688E-003,0.000000000000000
100,16384,250,0.5440530776977539,9.3898773193359375E-003,0.000000000000000
100,16384,500,0.9424250125885010,1.6877889633178711E-002,0.000000000000000
100,16384,750,1.369984865188599,2.7679920196533203E-002,0.000000000000000
100,16384,1000,1.811474800109863,4.2472124099731445E-002,0.000000000000000
100,16384,1500,2.657284975051880,0.1159968376159668,0.000000000000000
100,16384,2000,3.507920980453491,0.1517689228057861,0.000000000000000
100,16384,2500,4.352571010589600,0.1928751468658447,0.000000000000000
100,16384,3000,5.183051824569702,0.2348849773406982,0.000000000000000
100,16384,3500,5.996600151062012,0.2770929336547852,0.000000000000000
100,24576,100,0.3669319152832031,8.8870525360107422E-003,0.000000000000000
100,24576,250,0.7478289604187012,1.4256000518798828E-002,0.000000000000000
100,24576,500,1.378182172775269,3.2516956329345703E-002,0.000000000000000
100,24576,750,2.009423971176147,8.9385032653808594E-002,0.000000000000000
100,24576,1000,2.663055181503296,0.1190500259399414,0.000000000000000
100,24576,1500,3.924103975296021,0.1815807819366455,0.000000000000000
100,24576,2000,5.161677837371826,0.2432711124420166,0.000000000000000
100,24576,2500,6.449120998382568,0.3076059818267822,0.000000000000000
100,24576,3000,7.707078933715820,0.3739669322967529,0.000000000000000
100,24576,3500,8.988625049591064,0.4377849102020264,0.000000000000000
100,32768,100,0.4765539169311523,1.1333942413330078E-002,0.000000000000000
100,32768,250,0.9640622138977051,2.3150920867919922E-002,0.000000000000000
100,32768,500,1.832210063934326,4.9512147903442383E-002,0.000000000000000
100,32768,750,2.644768953323364,0.1243791580200195,0.000000000000000
100,32768,1000,3.492100954055786,0.1583139896392822,0.000000000000000
100,32768,1500,5.204626083374023,0.2448279857635498,0.000000000000000
100,32768,2000,6.891789913177490,0.3358409404754639,0.000000000000000
100,32768,2500,8.584989070892334,0.4129281044006348,0.000000000000000
100,32768,3000,10.28207898139954,0.5017380714416504,0.000000000000000
100,32768,3500,11.98012900352478,0.5869500637054443,0.000000000000000
100,40960,100,0.5435128211975098,1.3156890869140625E-002,0.000000000000000
100,40960,250,1.165487051010132,2.7565956115722656E-002,0.000000000000000
100,40960,500,2.235223054885864,0.1025249958038330,0.000000000000000
100,40960,750,3.306641101837158,0.1521248817443848,0.000000000000000
100,40960,1000,4.421698093414307,0.2049369812011719,0.000000000000000
100,40960,1500,6.502678871154785,0.3075790405273438,0.000000000000000
100,40960,2000,8.634787082672119,0.4081079959869385,0.000000000000000
100,40960,2500,10.76049995422363,0.5119650363922119,0.000000000000000
100,40960,3000,12.89573502540588,0.6129310131072998,0.000000000000000
100,40960,3500,15.02286195755005,0.7182540893554688,0.000000000000000
100,49152,100,0.6427907943725586,1.5639066696166992E-002,0.000000000000000
100,49152,250,1.401795148849487,3.6206007003784180E-002,0.000000000000000
100,49152,500,2.663434028625488,0.1277830600738525,0.000000000000000
100,49152,750,3.961879014968872,0.1912238597869873,0.000000000000000
100,49152,1000,5.222708940505981,0.2543549537658691,0.000000000000000
100,49152,1500,7.777766942977905,0.3822720050811768,0.000000000000000
100,49152,2000,10.33797883987427,0.5182480812072754,0.000000000000000
100,49152,2500,12.90013098716736,0.6395788192749023,0.000000000000000
100,49152,3000,15.43702697753906,0.7646708488464355,0.000000000000000
100,49152,3500,18.16068196296692,0.8927850723266602,0.000000000000000
100,57344,100,0.7342061996459961,1.8844127655029297E-002,0.000000000000000
100,57344,250,1.616265058517456,4.2491912841796875E-002,0.000000000000000
100,57344,500,3.112421035766602,0.1451869010925293,0.000000000000000
100,57344,750,4.572558879852295,0.2150530815124512,0.000000000000000
100,57344,1000,6.075623989105225,0.2887928485870361,0.000000000000000
100,57344,1500,9.038567066192627,0.4364471435546875,0.000000000000000
100,57344,2000,12.01794815063477,0.5800218582153320,0.000000000000000
100,57344,2500,14.99595689773560,0.7223548889160156,0.000000000000000
100,57344,3000,17.97869014739990,0.8709709644317627,0.000000000000000
100,57344,3500,20.95597100257874,1.013617992401123,0.000000000000000
100,65536,100,0.8196179866790771,2.5237798690795898E-002,0.000000000000000
100,65536,250,1.841567993164063,9.8068952560424805E-002,0.000000000000000
100,65536,500,3.533824205398560,0.1839110851287842,0.000000000000000
100,65536,750,5.207359075546265,0.2620990276336670,0.000000000000000
100,65536,1000,6.911556005477905,0.3393208980560303,0.000000000000000
100,65536,1500,10.31580996513367,0.5069220066070557,0.000000000000000
100,65536,2000,13.72245001792908,0.6783909797668457,0.000000000000000
100,65536,2500,17.12457799911499,0.8389089107513428,0.000000000000000
100,65536,3000,20.52644777297974,1.001965045928955,0.000000000000000
100,65536,3500,23.93571114540100,1.170445919036865,0.000000000000000
100,73728,100,0.9053249359130859,2.4617910385131836E-002,0.000000000000000
100,73728,250,2.058827877044678,0.1036810874938965,0.000000000000000
100,73728,500,3.983595132827759,0.1940200328826904,0.000000000000000
100,73728,750,5.886502027511597,0.2990500926971436,0.000000000000000
100,73728,1000,7.764049053192139,0.3864080905914307,0.000000000000000
100,73728,1500,11.59688305854797,0.5888540744781494,0.000000000000000
100,73728,2000,15.42860102653503,0.7863399982452393,0.000000000000000
100,73728,2500,19.26243519783020,0.9760918617248535,0.000000000000000
100,73728,3000,23.10019779205322,1.188723802566528,0.000000000000000
100,73728,3500,26.93558287620544,1.380004167556763,0.000000000000000
100,81920,100,0.9987061023712158,2.7539014816284180E-002,0.000000000000000
100,81920,250,2.274471044540405,0.1141588687896729,0.000000000000000
100,81920,500,4.373936176300049,0.2182900905609131,0.000000000000000
100,81920,750,6.486879825592041,0.3172490596771240,0.000000000000000
