m,n,k,time_int,time_ext,max_error
100,100,100,0.1716451644897461,2.4414062500000000E-004,0.000000000000000
250,100,100,0.1336441040039063,3.7097930908203125E-004,0.000000000000000
500,100,100,0.1333949565887451,6.6089630126953125E-004,0.000000000000000
750,100,100,0.1297028064727783,9.3317031860351563E-004,0.000000000000000
1000,100,100,0.1297001838684082,1.1548995971679688E-003,0.000000000000000
1500,100,100,0.1302139759063721,1.8599033355712891E-003,0.000000000000000
2000,100,100,0.1342568397521973,2.2552013397216797E-003,0.000000000000000
3000,100,100,0.1344079971313477,3.3419132232666016E-003,0.000000000000000
5000,100,100,0.1348540782928467,4.9319267272949219E-003,0.000000000000000
100,250,100,0.1329150199890137,2.8204917907714844E-004,0.000000000000000
250,250,100,0.1273200511932373,4.8494338989257813E-004,0.000000000000000
500,250,100,0.1270809173583984,8.9406967163085938E-004,0.000000000000000
750,250,100,0.1298480033874512,1.2447834014892578E-003,0.000000000000000
1000,250,100,0.1320369243621826,1.5518665313720703E-003,0.000000000000000
1500,250,100,0.1322829723358154,2.3088455200195313E-003,0.000000000000000
2000,250,100,0.1315920352935791,2.7921199798583984E-003,0.000000000000000
3000,250,100,0.1332650184631348,4.0428638458251953E-003,0.000000000000000
5000,250,100,0.1357359886169434,6.6180229187011719E-003,0.000000000000000
100,500,100,0.1272280216217041,3.8909912109375000E-004,0.000000000000000
250,500,100,0.1287138462066650,7.0285797119140625E-004,0.000000000000000
500,500,100,0.1310329437255859,1.1348724365234375E-003,0.000000000000000
750,500,100,0.1278178691864014,1.5950202941894531E-003,0.000000000000000
1000,500,100,0.1288831233978271,2.0911693572998047E-003,0.000000000000000
1500,500,100,0.1289889812469482,2.9280185699462891E-003,0.000000000000000
2000,500,100,0.1304590702056885,3.7910938262939453E-003,0.000000000000000
3000,500,100,0.1320250034332275,5.3570270538330078E-003,0.000000000000000
5000,500,100,0.1366288661956787,8.8818073272705078E-003,0.000000000000000
100,750,100,0.1324470043182373,5.6695938110351563E-004,0.000000000000000
250,750,100,0.1316411495208740,9.2697143554687500E-004,0.000000000000000
500,750,100,0.1289088726043701,1.4300346374511719E-003,0.000000000000000
750,750,100,0.1313819885253906,2.1779537200927734E-003,0.000000000000000
1000,750,100,0.1326398849487305,2.8619766235351563E-003,0.000000000000000
1500,750,100,0.1303200721740723,3.7939548492431641E-003,0.000000000000000
2000,750,100,0.1369900703430176,4.9440860748291016E-003,0.000000000000000
3000,750,100,0.1398630142211914,7.1609020233154297E-003,0.000000000000000
5000,750,100,0.1393010616302490,1.1516809463500977E-002,0.000000000000000
100,1000,100,0.1283669471740723,6.2799453735351563E-004,0.000000000000000
250,1000,100,0.1283321380615234,1.0828971862792969E-003,0.000000000000000
500,1000,100,0.1295900344848633,1.8689632415771484E-003,0.000000000000000
750,1000,100,0.1306040287017822,2.6628971099853516E-003,0.000000000000000
1000,1000,100,0.1336040496826172,3.6258697509765625E-003,0.000000000000000
1500,1000,100,0.1347789764404297,5.2540302276611328E-003,0.000000000000000
2000,1000,100,0.1359238624572754,6.2232017517089844E-003,0.000000000000000
3000,1000,100,0.1369438171386719,9.2329978942871094E-003,0.000000000000000
5000,1000,100,0.1480450630187988,1.6340970993041992E-002,0.000000000000000
100,1500,100,0.1267690658569336,8.8906288146972656E-004,0.000000000000000
250,1500,100,0.1303460597991943,1.3389587402343750E-003,0.000000000000000
500,1500,100,0.1318309307098389,2.5680065155029297E-003,0.000000000000000
750,1500,100,0.1292810440063477,3.3240318298339844E-003,0.000000000000000
1000,1500,100,0.1354420185089111,4.3561458587646484E-003,0.000000000000000
1500,1500,100,0.1380190849304199,6.2808990478515625E-003,0.000000000000000
2000,1500,100,0.1373620033264160,8.2180500030517578E-003,0.000000000000000
3000,1500,100,0.1406531333923340,1.1646986007690430E-002,0.000000000000000
5000,1500,100,0.1459510326385498,1.8719911575317383E-002,0.000000000000000
100,2000,100,0.1285560131072998,1.1150836944580078E-003,0.000000000000000
250,2000,100,0.1299240589141846,2.0220279693603516E-003,0.000000000000000
500,2000,100,0.1310448646545410,3.3771991729736328E-003,0.000000000000000
750,2000,100,0.1352410316467285,4.9190521240234375E-003,0.000000000000000
1000,2000,100,0.1352598667144775,6.4661502838134766E-003,0.000000000000000
1500,2000,100,0.1428279876708984,9.7088813781738281E-003,0.000000000000000
2000,2000,100,0.1424920558929443,1.2531995773315430E-002,0.000000000000000
3000,2000,100,0.1488089561462402,1.9169092178344727E-002,0.000000000000000
5000,2000,100,0.1619410514831543,2.8489112854003906E-002,0.000000000000000
100,3000,100,0.1318819522857666,1.5220642089843750E-003,0.000000000000000
250,3000,100,0.1317121982574463,2.6600360870361328E-003,0.000000000000000
500,3000,100,0.1369981765747070,4.4870376586914063E-003,0.000000000000000
750,3000,100,0.1346030235290527,5.9869289398193359E-003,0.000000000000000
1000,3000,100,0.1386928558349609,8.7039470672607422E-003,0.000000000000000
1500,3000,100,0.1379170417785645,1.1272907257080078E-002,0.000000000000000
2000,3000,100,0.1425609588623047,1.4778137207031250E-002,0.000000000000000
3000,3000,100,0.1495649814605713,2.0556926727294922E-002,0.000000000000000
5000,3000,100,0.1625950336456299,3.4673929214477539E-002,0.000000000000000
100,5000,100,0.1299519538879395,2.1879673004150391E-003,0.000000000000000
250,5000,100,0.1390490531921387,4.3830871582031250E-003,0.000000000000000
500,5000,100,0.1373379230499268,7.6639652252197266E-003,0.000000000000000
750,5000,100,0.1418468952178955,1.0792016983032227E-002,0.000000000000000
1000,5000,100,0.1421070098876953,1.3170957565307617E-002,0.000000000000000
1500,5000,100,0.1478381156921387,1.9022941589355469E-002,0.000000000000000
2000,5000,100,0.1553800106048584,2.4255037307739258E-002,0.000000000000000
3000,5000,100,0.1629338264465332,3.3035039901733398E-002,0.000000000000000
5000,5000,100,0.1863830089569092,5.1251888275146484E-002,0.000000000000000
100,100,250,0.1339290142059326,3.9601325988769531E-004,0.000000000000000
250,100,250,0.1264140605926514,7.5197219848632813E-004,0.000000000000000
500,100,250,0.1268780231475830,1.6860961914062500E-003,0.000000000000000
750,100,250,0.1332559585571289,1.9390583038330078E-003,0.000000000000000
1000,100,250,0.1341879367828369,2.4220943450927734E-003,0.000000000000000
1500,100,250,0.1328551769256592,3.5791397094726563E-003,0.000000000000000
2000,100,250,0.1360719203948975,4.6830177307128906E-003,0.000000000000000
3000,100,250,0.1377730369567871,6.8318843841552734E-003,0.000000000000000
5000,100,250,0.1415610313415527,1.0900020599365234E-002,0.000000000000000
100,250,250,0.1302530765533447,5.3095817565917969E-004,0.000000000000000
250,250,250,0.1278970241546631,9.7393989562988281E-004,0.000000000000000
500,250,250,0.1296808719635010,1.6951560974121094E-003,0.000000000000000
750,250,250,0.1319549083709717,2.4559497833251953E-003,0.000000000000000
1000,250,250,0.1314721107482910,2.9258728027343750E-003,0.000000000000000
1500,250,250,0.1390478610992432,4.3230056762695313E-003,0.000000000000000
2000,250,250,0.1377701759338379,5.7270526885986328E-003,0.000000000000000
3000,250,250,0.1416819095611572,8.4798336029052734E-003,0.000000000000000
5000,250,250,0.1478619575500488,1.3576030731201172E-002,0.000000000000000
100,500,250,0.1313560009002686,8.3613395690917969E-004,0.000000000000000
250,500,250,0.1315519809722900,1.3060569763183594E-003,0.000000000000000
500,500,250,0.1306080818176270,2.2320747375488281E-003,0.000000000000000
750,500,250,0.1353650093078613,3.1650066375732422E-003,0.000000000000000
1000,500,250,0.1298339366912842,3.9439201354980469E-003,0.000000000000000
1500,500,250,0.1330609321594238,5.6519508361816406E-003,0.000000000000000
2000,500,250,0.1364510059356689,7.5948238372802734E-003,0.000000000000000
3000,500,250,0.1385118961334229,1.0913848876953125E-002,0.000000000000000
5000,500,250,0.1453208923339844,1.8182992935180664E-002,0.000000000000000
100,750,250,0.1307110786437988,9.0217590332031250E-004,0.000000000000000
250,750,250,0.1302430629730225,1.4281272888183594E-003,0.000000000000000
500,750,250,0.1356937885284424,2.6419162750244141E-003,0.000000000000000
750,750,250,0.1300790309906006,3.6630630493164063E-003,0.000000000000000
1000,750,250,0.1308720111846924,4.7049522399902344E-003,0.000000000000000
1500,750,250,0.1361110210418701,6.9320201873779297E-003,0.000000000000000
2000,750,250,0.1377429962158203,8.9731216430664063E-003,0.000000000000000
3000,750,250,0.1424701213836670,1.3046026229858398E-002,0.000000000000000
5000,750,250,0.1479089260101318,2.1718978881835938E-002,0.000000000000000
100,1000,250,0.1276772022247314,1.0910034179687500E-003,0.000000000000000
250,1000,250,0.1288650035858154,1.8780231475830078E-003,0.000000000000000
500,1000,250,0.1263689994812012,3.1948089599609375E-003,0.000000000000000
750,1000,250,0.1344649791717529,4.5061111450195313E-003,0.000000000000000
1000,1000,250,0.1353390216827393,5.7561397552490234E-003,0.000000000000000
1500,1000,250,0.1338820457458496,8.6739063262939453E-003,0.000000000000000
2000,1000,250,0.1378359794616699,1.1062145233154297E-002,0.000000000000000
3000,1000,250,0.1412360668182373,1.6515016555786133E-002,0.000000000000000
5000,1000,250,0.1577320098876953,2.5851011276245117E-002,0.000000000000000
100,1500,250,0.1301860809326172,1.4629364013671875E-003,0.000000000000000
250,1500,250,0.1299808025360107,2.3860931396484375E-003,0.000000000000000
500,1500,250,0.1349079608917236,4.3067932128906250E-003,0.000000000000000
