m,n,k,time_ext,time_int,max_error
100,100,100,0.1689970493316650,1.6808509826660156E-004,0.000000000000000
250,100,100,0.1363120079040527,3.4213066101074219E-004,0.000000000000000
500,100,100,0.1334738731384277,6.2680244445800781E-004,0.000000000000000
750,100,100,0.1279339790344238,1.1219978332519531E-003,0.000000000000000
1000,100,100,0.1328511238098145,1.4750957489013672E-003,0.000000000000000
1500,100,100,0.1359159946441650,2.1021366119384766E-003,0.000000000000000
2000,100,100,0.1379001140594482,2.6559829711914063E-003,0.000000000000000
3000,100,100,0.1301279067993164,3.9088726043701172E-003,0.000000000000000
5000,100,100,0.1384580135345459,6.1919689178466797E-003,0.000000000000000
100,250,100,0.1266188621520996,2.2101402282714844E-004,0.000000000000000
250,250,100,0.1276729106903076,4.6110153198242188E-004,0.000000000000000
500,250,100,0.1311290264129639,9.3817710876464844E-004,0.000000000000000
750,250,100,0.1287109851837158,1.3089179992675781E-003,0.000000000000000
1000,250,100,0.1306898593902588,1.7960071563720703E-003,0.000000000000000
1500,250,100,0.1359310150146484,2.6628971099853516E-003,0.000000000000000
2000,250,100,0.1308131217956543,3.3071041107177734E-003,0.000000000000000
3000,250,100,0.1374421119689941,4.8069953918457031E-003,0.000000000000000
5000,250,100,0.1354379653930664,7.8370571136474609E-003,0.000000000000000
100,500,100,0.1293671131134033,3.5190582275390625E-004,0.000000000000000
250,500,100,0.1259241104125977,7.3003768920898438E-004,0.000000000000000
500,500,100,0.1304891109466553,1.1742115020751953E-003,0.000000000000000
750,500,100,0.1338000297546387,1.7950534820556641E-003,0.000000000000000
1000,500,100,0.1306998729705811,2.3338794708251953E-003,0.000000000000000
1500,500,100,0.1341071128845215,3.3609867095947266E-003,0.000000000000000
2000,500,100,0.1341669559478760,4.3950080871582031E-003,0.000000000000000
3000,500,100,0.1388731002807617,6.6530704498291016E-003,0.000000000000000
5000,500,100,0.1372990608215332,1.0535001754760742E-002,0.000000000000000
100,750,100,0.1273291110992432,4.4989585876464844E-004,0.000000000000000
250,750,100,0.1296708583831787,8.1992149353027344E-004,0.000000000000000
500,750,100,0.1340520381927490,1.5468597412109375E-003,0.000000000000000
750,750,100,0.1289861202239990,2.0508766174316406E-003,0.000000000000000
1000,750,100,0.1363129615783691,2.7048587799072266E-003,0.000000000000000
1500,750,100,0.1309418678283691,3.7128925323486328E-003,0.000000000000000
2000,750,100,0.1348788738250732,4.9788951873779297E-003,0.000000000000000
3000,750,100,0.1362030506134033,7.2221755981445313E-003,0.000000000000000
5000,750,100,0.1436791419982910,1.2893915176391602E-002,0.000000000000000
100,1000,100,0.1272320747375488,5.7101249694824219E-004,0.000000000000000
250,1000,100,0.1358170509338379,1.0459423065185547E-003,0.000000000000000
500,1000,100,0.1304199695587158,1.7850399017333984E-003,0.000000000000000
750,1000,100,0.1319439411163330,2.6340484619140625E-003,0.000000000000000
1000,1000,100,0.1311721801757813,3.1869411468505859E-003,0.000000000000000
1500,1000,100,0.1364810466766357,5.1550865173339844E-003,0.000000000000000
2000,1000,100,0.1372070312500000,6.3369274139404297E-003,0.000000000000000
3000,1000,100,0.1382989883422852,9.1981887817382813E-003,0.000000000000000
5000,1000,100,0.1418640613555908,1.5347957611083984E-002,0.000000000000000
100,1500,100,0.1272950172424316,8.7404251098632813E-004,0.000000000000000
250,1500,100,0.1271171569824219,1.3380050659179688E-003,0.000000000000000
500,1500,100,0.1330158710479736,2.4280548095703125E-003,0.000000000000000
750,1500,100,0.1302959918975830,3.3578872680664063E-003,0.000000000000000
1000,1500,100,0.1299448013305664,4.3768882751464844E-003,0.000000000000000
1500,1500,100,0.1315331459045410,6.1800479888916016E-003,0.000000000000000
2000,1500,100,0.1369171142578125,8.6820125579833984E-003,0.000000000000000
3000,1500,100,0.1452341079711914,1.3401985168457031E-002,0.000000000000000
5000,1500,100,0.1468749046325684,1.9149065017700195E-002,0.000000000000000
100,2000,100,0.1298308372497559,1.0600090026855469E-003,0.000000000000000
250,2000,100,0.1269240379333496,1.8069744110107422E-003,0.000000000000000
500,2000,100,0.1301810741424561,3.2069683074951172E-003,0.000000000000000
750,2000,100,0.1333489418029785,4.7500133514404297E-003,0.000000000000000
1000,2000,100,0.1388690471649170,6.6921710968017578E-003,0.000000000000000
1500,2000,100,0.1383559703826904,9.3889236450195313E-003,0.000000000000000
2000,2000,100,0.1400940418243408,1.1724948883056641E-002,0.000000000000000
3000,2000,100,0.1440320014953613,1.7349004745483398E-002,0.000000000000000
5000,2000,100,0.1569738388061523,2.8304100036621094E-002,0.000000000000000
100,3000,100,0.1287229061126709,1.4150142669677734E-003,0.000000000000000
250,3000,100,0.1307430267333984,2.3829936981201172E-003,0.000000000000000
500,3000,100,0.1322789192199707,4.1630268096923828E-003,0.000000000000000
750,3000,100,0.1330909729003906,5.9680938720703125E-003,0.000000000000000
1000,3000,100,0.1376209259033203,7.6570510864257813E-003,0.000000000000000
1500,3000,100,0.1403760910034180,1.1608123779296875E-002,0.000000000000000
2000,3000,100,0.1445789337158203,1.5357971191406250E-002,0.000000000000000
3000,3000,100,0.1488790512084961,2.0812988281250000E-002,0.000000000000000
5000,3000,100,0.1673848628997803,3.5633087158203125E-002,0.000000000000000
100,5000,100,0.1284019947052002,2.1979808807373047E-003,0.000000000000000
250,5000,100,0.1333200931549072,3.8290023803710938E-003,0.000000000000000
500,5000,100,0.1355359554290771,6.6080093383789063E-003,0.000000000000000
750,5000,100,0.1381769180297852,9.4959735870361328E-003,0.000000000000000
1000,5000,100,0.1400389671325684,1.2767076492309570E-002,0.000000000000000
1500,5000,100,0.1458230018615723,1.7825841903686523E-002,0.000000000000000
2000,5000,100,0.1528828144073486,2.3242950439453125E-002,0.000000000000000
3000,5000,100,0.1648259162902832,3.4013032913208008E-002,0.000000000000000
5000,5000,100,0.1861031055450439,5.2217960357666016E-002,0.000000000000000
100,100,250,0.1356160640716553,3.3211708068847656E-004,0.000000000000000
250,100,250,0.1287178993225098,7.0881843566894531E-004,0.000000000000000
500,100,250,0.1330859661102295,1.3279914855957031E-003,0.000000000000000
750,100,250,0.1293179988861084,2.3488998413085938E-003,0.000000000000000
1000,100,250,0.1308791637420654,3.0491352081298828E-003,0.000000000000000
1500,100,250,0.1294910907745361,4.3809413909912109E-003,0.000000000000000
2000,100,250,0.1295518875122070,5.5680274963378906E-003,0.000000000000000
3000,100,250,0.1324532032012939,8.2979202270507813E-003,0.000000000000000
5000,100,250,0.1419930458068848,1.3708114624023438E-002,0.000000000000000
100,250,250,0.1389620304107666,4.4894218444824219E-004,0.000000000000000
