m,n,k,time_main,time_subroutine,max_error
100,100,100,0.1729860305786133,2.4509429931640625E-004,2.8421709430404007E-014
250,100,100,0.1297371387481689,3.5285949707031250E-004,2.8421709430404007E-014
500,100,100,0.1295177936553955,6.3395500183105469E-004,3.1974423109204508E-014
750,100,100,0.1318569183349609,9.0503692626953125E-004,3.1974423109204508E-014
1000,100,100,0.1309330463409424,1.2338161468505859E-003,3.1974423109204508E-014
1500,100,100,0.1314918994903564,1.8861293792724609E-003,3.5527136788005009E-014
2000,100,100,0.1308119297027588,2.1250247955322266E-003,3.1974423109204508E-014
3000,100,100,0.1355500221252441,3.0870437622070313E-003,3.5527136788005009E-014
5000,100,100,0.1377398967742920,4.9932003021240234E-003,3.5527136788005009E-014
100,250,100,0.1281180381774902,2.6392936706542969E-004,9.9475983006414026E-014
250,250,100,0.1354620456695557,4.9710273742675781E-004,9.9475983006414026E-014
500,250,100,0.1155529022216797,6.2990188598632813E-004,1.1368683772161603E-013
750,250,100,0.1317551136016846,1.2109279632568359E-003,1.2789769243681803E-013
1000,250,100,0.1282410621643066,1.0671615600585938E-003,1.1368683772161603E-013
1500,250,100,0.1286079883575439,2.2389888763427734E-003,1.1368683772161603E-013
2000,250,100,0.1122691631317139,1.6980171203613281E-003,1.2789769243681803E-013
3000,250,100,0.1196599006652832,3.3378601074218750E-003,1.2789769243681803E-013
5000,250,100,0.1369268894195557,4.5769214630126953E-003,1.4210854715202004E-013
100,500,100,0.1261329650878906,3.7097930908203125E-004,2.8421709430404007E-013
250,500,100,0.1286900043487549,6.6995620727539063E-004,2.8421709430404007E-013
500,500,100,0.1299488544464111,1.1601448059082031E-003,3.1263880373444408E-013
750,500,100,0.1329951286315918,1.5478134155273438E-003,3.1263880373444408E-013
1000,500,100,0.1321721076965332,2.0389556884765625E-003,3.1263880373444408E-013
1500,500,100,0.1350920200347900,3.2010078430175781E-003,3.6948222259525210E-013
2000,500,100,0.1224660873413086,2.8278827667236328E-003,3.2684965844964609E-013
3000,500,100,0.1398839950561523,5.6400299072265625E-003,3.4106051316484809E-013
5000,500,100,0.1410009860992432,8.9330673217773438E-003,3.4106051316484809E-013
100,750,100,0.1327199935913086,5.0592422485351563E-004,5.4001247917767614E-013
250,750,100,0.1287109851837158,8.9502334594726563E-004,6.2527760746888816E-013
500,750,100,0.1290769577026367,1.4040470123291016E-003,5.6843418860808015E-013
750,750,100,0.1300401687622070,2.0711421966552734E-003,6.8212102632969618E-013
1000,750,100,0.1346988677978516,2.6719570159912109E-003,7.1054273576010019E-013
1500,750,100,0.1372320652008057,3.6790370941162109E-003,6.5369931689929217E-013
2000,750,100,0.1324210166931152,4.8201084136962891E-003,6.8212102632969618E-013
3000,750,100,0.1387810707092285,7.2491168975830078E-003,6.8212102632969618E-013
5000,750,100,0.1489820480346680,1.1826992034912109E-002,6.8212102632969618E-013
100,1000,100,0.1209700107574463,4.5514106750488281E-004,8.5265128291212022E-013
250,1000,100,0.1175801753997803,8.8500976562500000E-004,9.6633812063373625E-013
500,1000,100,0.1286489963531494,1.7378330230712891E-003,9.9475983006414026E-013
750,1000,100,0.1216340065002441,2.6729106903076172E-003,9.0949470177292824E-013
1000,1000,100,0.1232869625091553,3.0300617218017578E-003,9.9475983006414026E-013
1500,1000,100,0.1389858722686768,4.9510002136230469E-003,9.6633812063373625E-013
2000,1000,100,0.1445651054382324,6.4392089843750000E-003,9.6633812063373625E-013
3000,1000,100,0.1424081325531006,9.0799331665039063E-003,9.0949470177292824E-013
5000,1000,100,0.1195821762084961,9.4568729400634766E-003,9.6633812063373625E-013
100,1500,100,0.1146469116210938,6.8902969360351563E-004,1.6484591469634324E-012
250,1500,100,0.1288769245147705,1.4178752899169922E-003,2.1032064978498966E-012
500,1500,100,0.1319952011108398,2.4220943450927734E-003,1.9326762412674725E-012
750,1500,100,0.1318709850311279,3.3669471740722656E-003,1.9895196601282805E-012
1000,1500,100,0.1198000907897949,3.1809806823730469E-003,1.9895196601282805E-012
1500,1500,100,0.1226129531860352,4.5530796051025391E-003,2.0463630789890885E-012
2000,1500,100,0.1120500564575195,5.1169395446777344E-003,1.9895196601282805E-012
3000,1500,100,0.1297280788421631,8.8372230529785156E-003,2.1032064978498966E-012
5000,1500,100,0.1593379974365234,2.0221948623657227E-002,2.0463630789890885E-012
100,2000,100,0.1169068813323975,8.7714195251464844E-004,2.3305801732931286E-012
250,2000,100,0.1238269805908203,2.1269321441650391E-003,2.4442670110147446E-012
500,2000,100,0.1374130249023438,3.7579536437988281E-003,2.3874235921539366E-012
750,2000,100,0.1310219764709473,4.8191547393798828E-003,2.3874235921539366E-012
1000,2000,100,0.1391310691833496,6.2699317932128906E-003,2.3874235921539366E-012
1500,2000,100,0.1274650096893311,6.8728923797607422E-003,2.5011104298755527E-012
2000,2000,100,0.1461861133575439,1.2258052825927734E-002,2.7284841053187847E-012
3000,2000,100,0.1331977844238281,1.3319969177246094E-002,2.7853275241795927E-012
5000,2000,100,0.1625790596008301,2.7863979339599609E-002,2.5579538487363607E-012
100,3000,100,0.1231818199157715,1.1219978332519531E-003,4.4337866711430252E-012
250,3000,100,0.1346189975738525,2.4518966674804688E-003,4.8885340220294893E-012
500,3000,100,0.1213660240173340,3.1008720397949219E-003,5.1159076974727213E-012
750,3000,100,0.1206240653991699,4.6229362487792969E-003,5.0022208597511053E-012
1000,3000,100,0.1301229000091553,5.7871341705322266E-003,5.2295945351943374E-012
1500,3000,100,0.1117100715637207,7.5249671936035156E-003,5.1159076974727213E-012
2000,3000,100,0.1349430084228516,1.1155128479003906E-002,5.9117155615240335E-012
3000,3000,100,0.1233220100402832,1.4667987823486328E-002,6.5938365878537297E-012
