m,n,k,time_collapse,time_nocollapse,error_max
100,100,100,0.1667189598083496,9.1195106506347656E-004,0.000000000000000
250,100,100,0.1317288875579834,1.0511875152587891E-003,0.000000000000000
500,100,100,0.1372981071472168,1.3000965118408203E-003,0.000000000000000
750,100,100,0.1296520233154297,1.5439987182617188E-003,0.000000000000000
1000,100,100,0.1307840347290039,1.8241405487060547E-003,0.000000000000000
1500,100,100,0.1310338973999023,2.3550987243652344E-003,0.000000000000000
2000,100,100,0.1366209983825684,2.7379989624023438E-003,0.000000000000000
3000,100,100,0.1561429500579834,3.7958621978759766E-003,0.000000000000000
5000,100,100,0.1350739002227783,5.5401325225830078E-003,0.000000000000000
100,250,100,0.1268420219421387,1.9710063934326172E-003,0.000000000000000
250,250,100,0.1283140182495117,2.2180080413818359E-003,0.000000000000000
500,250,100,0.1287360191345215,2.5310516357421875E-003,0.000000000000000
750,250,100,0.1351468563079834,2.8860569000244141E-003,0.000000000000000
1000,250,100,0.1337509155273438,3.1900405883789063E-003,0.000000000000000
1500,250,100,0.1307289600372314,3.7341117858886719E-003,0.000000000000000
2000,250,100,0.1301579475402832,4.2328834533691406E-003,0.000000000000000
3000,250,100,0.1312429904937744,6.0679912567138672E-003,0.000000000000000
5000,250,100,0.1472821235656738,9.1609954833984375E-003,0.000000000000000
100,500,100,0.1284089088439941,3.8139820098876953E-003,0.000000000000000
250,500,100,0.1458280086517334,4.1420459747314453E-003,0.000000000000000
500,500,100,0.1338069438934326,4.5771598815917969E-003,0.000000000000000
750,500,100,0.1346299648284912,5.0599575042724609E-003,0.000000000000000
1000,500,100,0.1427190303802490,5.3029060363769531E-003,0.000000000000000
1500,500,100,0.1315739154815674,7.5919628143310547E-003,0.000000000000000
2000,500,100,0.1313529014587402,8.9328289031982422E-003,0.000000000000000
3000,500,100,0.1320061683654785,1.0771036148071289E-002,0.000000000000000
5000,500,100,0.1408228874206543,1.3921022415161133E-002,0.000000000000000
100,750,100,0.1323578357696533,5.5999755859375000E-003,0.000000000000000
250,750,100,0.1271979808807373,6.1199665069580078E-003,0.000000000000000
500,750,100,0.1333911418914795,6.5760612487792969E-003,0.000000000000000
750,750,100,0.1290159225463867,7.1260929107666016E-003,0.000000000000000
1000,750,100,0.1318109035491943,9.9229812622070313E-003,0.000000000000000
1500,750,100,0.1365180015563965,1.1816978454589844E-002,0.000000000000000
2000,750,100,0.1341810226440430,1.2897968292236328E-002,0.000000000000000
3000,750,100,0.1439938545227051,1.4662981033325195E-002,0.000000000000000
5000,750,100,0.1422839164733887,1.9740819931030273E-002,0.000000000000000
100,1000,100,0.1419229507446289,7.4119567871093750E-003,0.000000000000000
250,1000,100,0.1305899620056152,7.9638957977294922E-003,0.000000000000000
500,1000,100,0.1294090747833252,9.4490051269531250E-003,0.000000000000000
750,1000,100,0.1319100856781006,1.2487888336181641E-002,0.000000000000000
1000,1000,100,0.1293518543243408,1.3939142227172852E-002,0.000000000000000
1500,1000,100,0.1411991119384766,1.5392065048217773E-002,0.000000000000000
2000,1000,100,0.1361930370330811,1.7043113708496094E-002,0.000000000000000
3000,1000,100,0.1480569839477539,1.8757104873657227E-002,0.000000000000000
5000,1000,100,0.1444869041442871,2.3513078689575195E-002,0.000000000000000
100,1500,100,0.1435420513153076,1.0983943939208984E-002,0.000000000000000
250,1500,100,0.1334788799285889,1.1858940124511719E-002,0.000000000000000
500,1500,100,0.1364820003509521,1.8309116363525391E-002,0.000000000000000
750,1500,100,0.1331839561462402,1.9954919815063477E-002,0.000000000000000
1000,1500,100,0.1369879245758057,2.0650863647460938E-002,0.000000000000000
1500,1500,100,0.1341011524200439,2.2778987884521484E-002,0.000000000000000
2000,1500,100,0.1365809440612793,2.3994922637939453E-002,0.000000000000000
3000,1500,100,0.1383221149444580,2.7063131332397461E-002,0.000000000000000
5000,1500,100,0.1495931148529053,3.4419059753417969E-002,0.000000000000000
100,2000,100,0.1297950744628906,1.4658927917480469E-002,0.000000000000000
250,2000,100,0.1300139427185059,1.6460895538330078E-002,0.000000000000000
500,2000,100,0.1377260684967041,2.4899005889892578E-002,0.000000000000000
750,2000,100,0.1343138217926025,2.6660919189453125E-002,0.000000000000000
1000,2000,100,0.1427648067474365,2.7452945709228516E-002,0.000000000000000
1500,2000,100,0.1407990455627441,3.0245065689086914E-002,0.000000000000000
2000,2000,100,0.1557109355926514,3.2003879547119141E-002,0.000000000000000
3000,2000,100,0.1480748653411865,3.6084890365600586E-002,0.000000000000000
5000,2000,100,0.1557810306549072,4.2169094085693359E-002,0.000000000000000
100,3000,100,0.1349329948425293,2.4903059005737305E-002,0.000000000000000
250,3000,100,0.1326088905334473,3.4853935241699219E-002,0.000000000000000
500,3000,100,0.1387720108032227,3.7927150726318359E-002,0.000000000000000
750,3000,100,0.1327280998229980,3.9469003677368164E-002,0.000000000000000
1000,3000,100,0.1370320320129395,4.0673017501831055E-002,0.000000000000000
1500,3000,100,0.1394131183624268,4.3885946273803711E-002,0.000000000000000
2000,3000,100,0.1434469223022461,4.5412063598632813E-002,0.000000000000000
3000,3000,100,0.1562509536743164,5.2024841308593750E-002,0.000000000000000
5000,3000,100,0.1723530292510986,6.3611984252929688E-002,0.000000000000000
100,5000,100,0.1381399631500244,5.6427955627441406E-002,0.000000000000000
250,5000,100,0.1373851299285889,5.9817075729370117E-002,0.000000000000000
500,5000,100,0.1464750766754150,6.2658071517944336E-002,0.000000000000000
750,5000,100,0.1423249244689941,6.5617799758911133E-002,0.000000000000000
1000,5000,100,0.1450471878051758,6.7544937133789063E-002,0.000000000000000
1500,5000,100,0.1503238677978516,7.2177886962890625E-002,0.000000000000000
2000,5000,100,0.1542029380798340,7.4227094650268555E-002,0.000000000000000
3000,5000,100,0.1636660099029541,8.2900047302246094E-002,0.000000000000000
5000,5000,100,0.1812071800231934,9.4328880310058594E-002,0.000000000000000
100,100,250,0.1257247924804688,1.8880367279052734E-003,0.000000000000000
250,100,250,0.1237649917602539,2.2921562194824219E-003,0.000000000000000
500,100,250,0.1258490085601807,3.0050277709960938E-003,0.000000000000000
750,100,250,0.1303200721740723,3.4167766571044922E-003,0.000000000000000
1000,100,250,0.1302630901336670,3.9398670196533203E-003,0.000000000000000
1500,100,250,0.1234769821166992,5.0899982452392578E-003,0.000000000000000
2000,100,250,0.1276559829711914,6.0670375823974609E-003,0.000000000000000
3000,100,250,0.1358718872070313,8.6970329284667969E-003,0.000000000000000
5000,100,250,0.1601688861846924,1.2775897979736328E-002,0.000000000000000
100,250,250,0.1267869472503662,4.8170089721679688E-003,0.000000000000000
250,250,250,0.1256279945373535,5.3250789642333984E-003,0.000000000000000
500,250,250,0.1127331256866455,5.4471492767333984E-003,0.000000000000000
750,250,250,0.1190290451049805,6.5798759460449219E-003,0.000000000000000
1000,250,250,0.1399338245391846,7.1310997009277344E-003,0.000000000000000
1500,250,250,0.1311578750610352,8.3580017089843750E-003,0.000000000000000
2000,250,250,0.1081070899963379,7.7052116394042969E-003,0.000000000000000
3000,250,250,0.1304209232330322,1.1173009872436523E-002,0.000000000000000
5000,250,250,0.1493680477142334,2.1656036376953125E-002,0.000000000000000
100,500,250,0.1371331214904785,9.2132091522216797E-003,0.000000000000000
250,500,250,0.1327791213989258,9.9899768829345703E-003,0.000000000000000
500,500,250,0.1320669651031494,1.1010169982910156E-002,0.000000000000000
750,500,250,0.1346750259399414,1.1764049530029297E-002,0.000000000000000
1000,500,250,0.1359400749206543,1.2691974639892578E-002,0.000000000000000
1500,500,250,0.1526389122009277,1.8069982528686523E-002,0.000000000000000
2000,500,250,0.1412100791931152,2.0379066467285156E-002,0.000000000000000
