m,n,k,time_cpu,time_gpu
1000,1000,1000,1.62103498,0.7839291095733643
2000,1000,1000,2.61073399,1.870491027832031
3000,1000,1000,3.62236500,1.893139123916626
4000,1000,1000,4.81896973,3.799444198608398
5000,1000,1000,5.86850119,3.668465137481689
1000,2000,1000,3.95628190,4.801371812820435
2000,2000,1000,8.49481773,8.208693981170654
3000,2000,1000,10.6448412,11.55046606063843
4000,2000,1000,17.5785503,17.71223998069763
5000,2000,1000,23.1106148,23.82732105255127
1000,3000,1000,9.94726086,10.72351503372192
2000,3000,1000,21.1487503,24.76868605613708
3000,3000,1000,36.3980522,38.64090895652771
4000,3000,1000,51.7966652,54.94041204452515
5000,3000,1000,68.5299988,68.25695109367371
1000,4000,1000,14.8148165,16.88504600524902
2000,4000,1000,32.6367226,36.69018411636353
3000,4000,1000,53.2156601,59.24982595443726
4000,4000,1000,82.7014847,90.60634899139404
5000,4000,1000,101.227516,105.0061340332031
1000,5000,1000,19.4519844,21.79264402389526
2000,5000,1000,42.9434853,47.92530012130737
3000,5000,1000,68.9849854,76.85749292373657
4000,5000,1000,111.591682,124.9199278354645
5000,5000,1000,131.501999,137.9386329650879
1000,1000,2000,2.63335609,1.669517040252686
2000,1000,2000,5.17271423,3.826689958572388
3000,1000,2000,7.36982822,4.416047096252441
4000,1000,2000,10.0575657,7.965533018112183
5000,1000,2000,12.3314505,8.117191076278687
1000,2000,2000,8.14772987,8.429879903793335
2000,2000,2000,17.3319454,19.27468395233154
3000,2000,2000,21.4762249,23.81276297569275
4000,2000,2000,35.8895340,35.37270808219910
5000,2000,2000,45.4103050,49.30612301826477
1000,3000,2000,18.8029575,22.50902390480042
2000,3000,2000,42.4433823,48.24277400970459
3000,3000,2000,72.2472763,79.24807095527649
4000,3000,2000,108.086235,111.3326570987701
5000,3000,2000,135.961411,139.0427091121674
1000,4000,2000,29.8925056,33.84103798866272
2000,4000,2000,65.3475571,70.93126296997070
3000,4000,2000,106.403603,118.4151289463043
4000,4000,2000,166.134003,179.0697522163391
5000,4000,2000,200.609863,209.3074688911438
1000,5000,2000,39.1741982,43.87144494056702
2000,5000,2000,86.0782013,94.92355298995972
3000,5000,2000,139.675354,152.1312041282654
4000,5000,2000,222.890228,245.2465898990631
5000,5000,2000,262.101105,270.8053510189056
1000,1000,3000,3.82264495,2.614952802658081
2000,1000,3000,7.83766603,6.348362922668457
3000,1000,3000,11.6132841,7.302380084991455
4000,1000,3000,15.5969048,12.68076109886169
5000,1000,3000,19.6880131,13.35940909385681
1000,2000,3000,11.8143740,13.32892489433289
2000,2000,3000,25.8452988,29.68757581710815
3000,2000,3000,35.6729202,34.98163890838623
4000,2000,3000,48.4047546,50.58522891998291
5000,2000,3000,69.9037552,73.79273200035095
1000,3000,3000,29.5028858,33.77368617057800
2000,3000,3000,65.8093719,72.88485503196716
3000,3000,3000,108.209595,118.8280918598175
4000,3000,3000,163.066971,167.0215311050415
5000,3000,3000,202.919296,208.8191537857056
1000,4000,3000,44.8195839,49.44583797454834
2000,4000,3000,95.2401505,108.4119889736176
3000,4000,3000,160.215317,171.1509318351746
