m,n,k,time_directo,time_subrutina
50,50,50,1.95899978E-03,1.83899992E-03
100,50,50,4.76399995E-03,4.73900000E-03
150,50,50,8.26899987E-03,8.27699993E-03
200,50,50,9.42600053E-03,9.48499981E-03
250,50,50,1.12240007E-02,1.10640004E-02
300,50,50,1.38659999E-02,1.36719998E-02
350,50,50,1.62960012E-02,1.62930004E-02
400,50,50,1.87260006E-02,1.84169989E-02
450,50,50,1.98999997E-02,1.99849997E-02
500,50,50,2.31160000E-02,2.31819991E-02
50,100,50,2.92900018E-03,2.96299998E-03
100,100,50,7.33500021E-03,7.28999963E-03
150,100,50,1.19510004E-02,1.18760001E-02
200,100,50,1.45589998E-02,1.45490002E-02
250,100,50,1.86379999E-02,1.80680007E-02
300,100,50,2.09129993E-02,2.08349992E-02
350,100,50,2.51989998E-02,2.54519992E-02
400,100,50,2.88299993E-02,2.87790000E-02
450,100,50,3.29260007E-02,3.32410000E-02
500,100,50,3.66699994E-02,3.65630016E-02
50,150,50,3.44400015E-03,3.45700001E-03
100,150,50,1.03890002E-02,1.01990001E-02
150,150,50,1.62649993E-02,1.65550001E-02
200,150,50,2.03740001E-02,2.06039995E-02
250,150,50,2.27160007E-02,2.33960003E-02
300,150,50,2.90919989E-02,2.92169992E-02
350,150,50,3.17350030E-02,3.15309986E-02
400,150,50,4.01879996E-02,4.05730009E-02
450,150,50,4.16000001E-02,4.16360013E-02
500,150,50,5.05359992E-02,5.05019985E-02
50,200,50,4.62200027E-03,4.49199975E-03
100,200,50,1.14130005E-02,1.10799996E-02
150,200,50,1.97040010E-02,1.94959994E-02
200,200,50,2.48009991E-02,2.52430011E-02
250,200,50,3.07060014E-02,3.10210008E-02
300,200,50,3.55219990E-02,3.62470001E-02
350,200,50,4.28400002E-02,4.34259996E-02
400,200,50,4.93949987E-02,5.03260009E-02
450,200,50,5.63590005E-02,5.72750010E-02
500,200,50,6.18069991E-02,6.27480000E-02
50,250,50,4.95600002E-03,4.88799997E-03
100,250,50,1.52989998E-02,1.52869988E-02
150,250,50,2.37189997E-02,2.37770006E-02
200,250,50,2.81470008E-02,2.80770008E-02
250,250,50,3.80799994E-02,3.85779999E-02
300,250,50,3.97829972E-02,3.99320014E-02
350,250,50,5.30459993E-02,5.33359982E-02
400,250,50,5.55640012E-02,5.57629988E-02
450,250,50,7.03600049E-02,6.99520037E-02
500,250,50,7.02290013E-02,7.02720061E-02
50,300,50,7.29299989E-03,7.35000009E-03
100,300,50,1.94320008E-02,1.94099993E-02
150,300,50,2.98560001E-02,2.98810005E-02
200,300,50,3.90199982E-02,3.90109979E-02
250,300,50,4.83379997E-02,4.83429991E-02
300,300,50,5.59840016E-02,5.57390004E-02
350,300,50,6.78359941E-02,6.80439994E-02
400,300,50,7.76289999E-02,7.77499974E-02
450,300,50,8.93869996E-02,8.91289935E-02
500,300,50,9.75309983E-02,9.74880010E-02
50,350,50,7.49100046E-03,7.50799943E-03
100,350,50,2.25530006E-02,2.27750000E-02
150,350,50,3.14329974E-02,3.14610004E-02
200,350,50,4.52629998E-02,4.55380008E-02
250,350,50,5.10979965E-02,5.12139983E-02
300,350,50,6.49900064E-02,6.50290027E-02
350,350,50,7.13550001E-02,7.14720041E-02
400,350,50,9.07780007E-02,9.07619968E-02
450,350,50,9.43310037E-02,9.39970016E-02
500,350,50,0.114193998,0.114537999
50,400,50,8.73799995E-03,8.70200060E-03
100,400,50,2.29770001E-02,2.41179988E-02
150,400,50,3.48690003E-02,3.67319994E-02
200,400,50,4.63260002E-02,4.86119986E-02
250,400,50,5.73769994E-02,6.03999980E-02
300,400,50,6.63269982E-02,7.02010021E-02
350,400,50,8.08119997E-02,8.44709948E-02
400,400,50,9.24400017E-02,9.67250019E-02
450,400,50,0.106464997,0.111465998
500,400,50,0.116554007,0.122497998
50,450,50,8.30599945E-03,8.16299953E-03
100,450,50,2.36579999E-02,2.36520004E-02
150,450,50,4.02240008E-02,4.03539985E-02
200,450,50,4.77520004E-02,4.78099994E-02
250,450,50,6.79019988E-02,6.59199953E-02
300,450,50,6.73250034E-02,6.75309971E-02
350,450,50,9.21529979E-02,9.23580006E-02
400,450,50,9.50420052E-02,9.53169987E-02
450,450,50,0.123307995,0.122447997
500,450,50,0.120054998,0.120270997
50,500,50,1.04369996E-02,1.05079999E-02
100,500,50,2.90620010E-02,2.90089995E-02
150,500,50,4.37589996E-02,4.36659977E-02
200,500,50,5.83700016E-02,5.82530014E-02
250,500,50,7.22979978E-02,7.23949969E-02
300,500,50,8.35290030E-02,8.31819996E-02
350,500,50,0.101149999,0.101543002
400,500,50,0.116644002,0.117199004
450,500,50,0.133890003,0.135122001
500,500,50,0.146746993,0.147106990
50,50,100,3.61199980E-03,3.58099979E-03
100,50,100,7.66099989E-03,7.71499984E-03
150,50,100,1.33250002E-02,1.30390003E-02
200,50,100,1.80569999E-02,1.79190002E-02
250,50,100,1.87400002E-02,1.85979996E-02
300,50,100,2.05949992E-02,2.05949992E-02
350,50,100,3.14700007E-02,3.09860017E-02
400,50,100,3.50589976E-02,3.46019976E-02
450,50,100,3.94200012E-02,3.89750004E-02
500,50,100,4.09980007E-02,4.14129980E-02
50,100,100,4.78899991E-03,4.80000023E-03
100,100,100,1.05179995E-02,1.05640003E-02
